epoch,train_loss,train_acc,val_loss,val_acc
1,2.0459983432557847,0.1938,1.7644912353515625,0.2894
2,1.5826405760235256,0.3900666666666667,1.3448516878128052,0.5088
3,1.2654803067737155,0.5458,1.118835658454895,0.6024
4,1.0523233715057374,0.6262888888888889,0.934725685119629,0.673
5,0.9322191103193495,0.6717777777777778,0.8614845089912414,0.6962
6,0.8559670511669583,0.7008666666666666,0.877638427066803,0.6976
7,0.7867051500532363,0.7282666666666666,0.7178902673721314,0.7512
8,0.7312051670074463,0.7488,0.7329119444847106,0.7524
9,0.6838302166832818,0.7644444444444445,0.6759365301132202,0.7768
10,0.6605749828232659,0.7748222222222222,0.6697508118629456,0.7714
11,0.619891828335656,0.7888,0.6453006597518921,0.7874
12,0.5933665082189772,0.7988222222222222,0.6056009726524353,0.8006
13,0.5722301950878567,0.806,0.6002443054199219,0.7994
14,0.5463994240548875,0.8128,0.5991282000541687,0.8022
15,0.5307836770057678,0.8181333333333334,0.5696982702255249,0.8134
16,0.5139274355570476,0.8248222222222222,0.5341272006511688,0.8238
17,0.4949216067738003,0.8316666666666667,0.621271108341217,0.7968
18,0.47595158564249673,0.8365777777777778,0.5733728082180023,0.8124
19,0.46971980877982245,0.8407111111111111,0.5523355986118317,0.8148
20,0.4528484500779046,0.8444666666666667,0.5330932594299317,0.8244
21,0.43560389422310725,0.8509555555555556,0.5413743108272553,0.8202
22,0.4301123502678341,0.8532888888888889,0.5159027347564697,0.8366
23,0.42155493386056686,0.8550444444444445,0.5762662230968475,0.815
24,0.40520220957332187,0.8614,0.5210834804534912,0.8336
25,0.3984215121799045,0.8650444444444444,0.5033213175773621,0.8334
26,0.3884148925463359,0.8661111111111112,0.5059777643680573,0.8364
27,0.38950446812841627,0.8669333333333333,0.4833951421737671,0.8442
28,0.37244808372391597,0.8715333333333334,0.4984738800048828,0.8388
29,0.3644963362428877,0.8768888888888889,0.5287529685020447,0.8316
30,0.3606573759396871,0.8778444444444444,0.5270104661464691,0.8402
31,0.35218016929626467,0.8792666666666666,0.494909561252594,0.8456
32,0.3463500309626261,0.8838666666666667,0.5245067264080048,0.835
33,0.3377697787761688,0.8832666666666666,0.5444269060611725,0.8318
34,0.3299641189469231,0.8870888888888889,0.5341195169448852,0.8408
35,0.32594306252267624,0.8908,0.5308331943511962,0.8424
36,0.3123998075114356,0.8948,0.5141458852767944,0.851
37,0.3127463270664215,0.8927111111111111,0.5415272188186645,0.8444
38,0.3070326171477636,0.8958666666666667,0.5260819843769073,0.8454
39,0.2987041877852546,0.8987777777777778,0.5363164878845215,0.8438
40,0.2969785185760922,0.8987777777777778,0.4906420217990875,0.86
41,0.29125727877087065,0.9017777777777778,0.5173739430904388,0.8526
42,0.2872871422608693,0.9021555555555556,0.5171157008171081,0.846
43,0.2839962622748481,0.9033111111111111,0.5107166244506836,0.8476
44,0.2750171436998579,0.9058888888888889,0.528237642288208,0.8492
45,0.27505131165716384,0.9082,0.5176877529144287,0.847
46,0.2665169608010186,0.9081777777777778,0.4977791061401367,0.8556
47,0.26430736333264243,0.9094666666666666,0.5041209961891174,0.8494
48,0.2603489206896888,0.9110666666666667,0.5367671482086182,0.8472
49,0.26227269077830845,0.9092888888888889,0.518508242225647,0.8452
50,0.2577872826311323,0.9124666666666666,0.5166186174392701,0.8482
